♠3,♦7,♥5,♠J,♣5 | Pair
♠Q,♣5,♠8,♦3,♣Q | Pair
♠Q,♣5,♠8,♥Q,♦10 | Pair
♠Q,♣5,♠8,♥Q,♣Q | Three Of A Kind
♠Q,♣5,♠8,♦10,♣Q | Pair
♠Q,♣5,♦3,♥Q,♦10 | Pair
♠Q,♣5,♦3,♥Q,♣Q | Three Of A Kind
♠Q,♣5,♦3,♦10,♣Q | Pair
♠Q,♣5,♥Q,♦10,♣Q | Three Of A Kind
♠Q,♠8,♦3,♥Q,♦10 | Pair
♠Q,♠8,♦3,♥Q,♣Q | Three Of A Kind
♠Q,♠8,♦3,♦10,♣Q | Pair
♠Q,♠8,♥Q,♦10,♣Q | Three Of A Kind
♠Q,♦3,♥Q,♦10,♣Q | Three Of A Kind
♣2,♦A,♣5,♥Q,♣Q | Pair
♣2,♦A,♠8,♥Q,♣Q | Pair
♣2,♦A,♦3,♥Q,♣Q | Pair
♣2,♦A,♥Q,♦10,♣Q | Pair
♣2,♣5,♠8,♥Q,♣Q | Pair
♣2,♣5,♦3,♥Q,♣Q | Pair
♣2,♣5,♥Q,♦10,♣Q | Pair
♣2,♠8,♦3,♥Q,♣Q | Pair
♣2,♠8,♥Q,♦10,♣Q | Pair
♣2,♦3,♥Q,♦10,♣Q | Pair
♦A,♣5,♠8,♥Q,♣Q | Pair
♦A,♣5,♦3,♥Q,♣Q | Pair
♦A,♣5,♥Q,♦10,♣Q | Pair
♦A,♠8,♦3,♥Q,♣Q | Pair
♦A,♠8,♥Q,♦10,♣Q | Pair
♦A,♦3,♥Q,♦10,♣Q | Pair
♣5,♠8,♦3,♥Q,♣Q | Pair
♣5,♠8,♥Q,♦10,♣Q | Pair
♣5,♦3,♥Q,♦10,♣Q | Pair
♠8,♦3,♥Q,♦10,♣Q | Pair
