♠K,♠8,♣9,♠5,♥K | Pair
♣9,♠5,♥9,♣8,♦8 | Two Pairs
♣9,♠5,♥9,♥7,♦8 | Pair
♣9,♠5,♥6,♣8,♥7 | Straight
♣9,♠5,♥6,♣8,♦8 | Pair
♣9,♠5,♥6,♥7,♦8 | Straight
♣9,♠5,♣8,♥7,♦8 | Pair
♣9,♠7,♣4,♣7,♥K | Pair
♣9,♠7,♣4,♣7,♣K | Pair
♣9,♠7,♣4,♣7,♥9 | Two Pairs
♣9,♠7,♣4,♣7,♥6 | Pair
♣9,♠7,♣4,♣7,♣8 | Pair
♣9,♠7,♣4,♣7,♥7 | Three Of A Kind
♣9,♠7,♣4,♣7,♦8 | Pair
♣9,♠7,♣4,♥K,♣K | Pair
♣9,♠7,♣4,♥K,♥9 | Pair
♣9,♠7,♣4,♥K,♥7 | Pair
♣9,♠7,♣4,♣K,♥9 | Pair
♣9,♠7,♣4,♣K,♥7 | Pair
♣9,♠7,♣4,♥9,♥6 | Pair
♣9,♠7,♣4,♥9,♣8 | Pair
♣9,♠7,♣4,♥9,♥7 | Two Pairs
♣9,♠7,♣4,♥9,♦8 | Pair
♣9,♠7,♣4,♥6,♥7 | Pair
♣9,♠7,♣4,♣8,♥7 | Pair
♣9,♠7,♣4,♣8,♦8 | Pair
♣9,♠7,♣4,♥7,♦8 | Pair
♣9,♠7,♣7,♥K,♣K | Two Pairs
♣9,♠7,♣7,♥K,♥9 | Two Pairs
♣9,♠7,♣7,♥K,♥6 | Pair
♣9,♠7,♣7,♥K,♣8 | Pair
♣9,♠7,♣7,♥K,♥7 | Three Of A Kind
♣9,♠7,♣7,♥K,♦8 | Pair
♣9,♠7,♣7,♣K,♥9 | Two Pairs
♣9,♠7,♣7,♣K,♥6 | Pair
♣9,♠7,♣7,♣K,♣8 | Pair
♣9,♠7,♣7,♣K,♥7 | Three Of A Kind
♣9,♠7,♣7,♣K,♦8 | Pair
♣9,♠7,♣7,♥9,♥6 | Two Pairs
♣9,♠7,♣7,♥9,♣8 | Two Pairs
♣9,♠7,♣7,♥9,♥7 | Full House
♣9,♠7,♣7,♥9,♦8 | Two Pairs
♣9,♠7,♣7,♥6,♣8 | Pair
♣9,♠7,♣7,♥6,♥7 | Three Of A Kind
♣9,♠7,♣7,♥6,♦8 | Pair
♣9,♠7,♣7,♣8,♥7 | Three Of A Kind
♣9,♠7,♣7,♣8,♦8 | Two Pairs
♣9,♠7,♣7,♥7,♦8 | Three Of A Kind
♣9,♠7,♥K,♣K,♥9 | Two Pairs
♣9,♠7,♥K,♣K,♥6 | Pair
♣9,♠7,♥K,♣K,♣8 | Pair
♣9,♠7,♥K,♣K,♥7 | Two Pairs
♣9,♠7,♥K,♣K,♦8 | Pair
♣9,♠7,♥K,♥9,♥6 | Pair
♣9,♠7,♥K,♥9,♣8 | Pair
♣9,♠7,♥K,♥9,♥7 | Two Pairs
♣9,♠7,♥K,♥9,♦8 | Pair
♣9,♠7,♥K,♥6,♥7 | Pair
♣9,♠7,♥K,♣8,♥7 | Pair
♣9,♠7,♥K,♣8,♦8 | Pair
♣9,♠7,♥K,♥7,♦8 | Pair
♣9,♠7,♣K,♥9,♥6 | Pair
♣9,♠7,♣K,♥9,♣8 | Pair
♣9,♠7,♣K,♥9,♥7 | Two Pairs
♣9,♠7,♣K,♥9,♦8 | Pair
♣9,♠7,♣K,♥6,♥7 | Pair
♣9,♠7,♣K,♣8,♥7 | Pair
♣9,♠7,♣K,♣8,♦8 | Pair
♣9,♠7,♣K,♥7,♦8 | Pair
♣9,♠7,♥9,♥6,♣8 | Pair
♣9,♠7,♥9,♥6,♥7 | Two Pairs
♣9,♠7,♥9,♥6,♦8 | Pair
♣9,♠7,♥9,♣8,♥7 | Two Pairs
♣9,♠7,♥9,♣8,♦8 | Two Pairs
♣9,♠7,♥9,♥7,♦8 | Two Pairs
♣9,♠7,♥6,♣8,♥7 | Pair
♣9,♠7,♥6,♣8,♦8 | Pair
♣9,♠7,♥6,♥7,♦8 | Pair
♣9,♠7,♣8,♥7,♦8 | Two Pairs
♣9,♣4,♣7,♥K,♣K | Pair
♣9,♣4,♣7,♥K,♥9 | Pair
♣9,♣4,♣7,♥K,♥7 | Pair
♣9,♣4,♣7,♣K,♥9 | Pair
♣9,♣4,♣7,♣K,♣8 | Flush
♣9,♣4,♣7,♣K,♥7 | Pair
♣9,♣4,♣7,♥9,♥6 | Pair
♣9,♣4,♣7,♥9,♣8 | Pair
♣9,♣4,♣7,♥9,♥7 | Two Pairs
♣9,♣4,♣7,♥9,♦8 | Pair
♣9,♣4,♣7,♥6,♥7 | Pair
♣9,♣4,♣7,♣8,♥7 | Pair
♣9,♣4,♣7,♣8,♦8 | Pair
♣9,♣4,♣7,♥7,♦8 | Pair
♣9,♣4,♥K,♣K,♥9 | Two Pairs
♣9,♣4,♥K,♣K,♥6 | Pair
♣9,♣4,♥K,♣K,♣8 | Pair
♣9,♣4,♥K,♣K,♥7 | Pair
♣9,♣4,♥K,♣K,♦8 | Pair
♣9,♣4,♥K,♥9,♥6 | Pair
♣9,♣4,♥K,♥9,♣8 | Pair
♣9,♣4,♥K,♥9,♥7 | Pair
♣9,♣4,♥K,♥9,♦8 | Pair
♣9,♣4,♥K,♣8,♦8 | Pair
♣9,♣4,♣K,♥9,♥6 | Pair
♣9,♣4,♣K,♥9,♣8 | Pair
♣9,♣4,♣K,♥9,♥7 | Pair
♣9,♣4,♣K,♥9,♦8 | Pair
♣9,♣4,♣K,♣8,♦8 | Pair
♣9,♣4,♥9,♥6,♣8 | Pair
♣9,♣4,♥9,♥6,♥7 | Pair
♣9,♣4,♥9,♥6,♦8 | Pair
♣9,♣4,♥9,♣8,♥7 | Pair
♣9,♣4,♥9,♣8,♦8 | Two Pairs
♣9,♣4,♥9,♥7,♦8 | Pair
♣9,♣4,♥6,♣8,♦8 | Pair
♣9,♣4,♣8,♥7,♦8 | Pair
♣9,♣7,♥K,♣K,♥9 | Two Pairs
♣9,♣7,♥K,♣K,♥6 | Pair
♣9,♣7,♥K,♣K,♣8 | Pair
♣9,♣7,♥K,♣K,♥7 | Two Pairs
♣9,♣7,♥K,♣K,♦8 | Pair
♣9,♣7,♥K,♥9,♥6 | Pair
♣9,♣7,♥K,♥9,♣8 | Pair
♣9,♣7,♥K,♥9,♥7 | Two Pairs
♣9,♣7,♥K,♥9,♦8 | Pair
♣9,♣7,♥K,♥6,♥7 | Pair
♣9,♣7,♥K,♣8,♥7 | Pair
♣9,♣7,♥K,♣8,♦8 | Pair
♣9,♣7,♥K,♥7,♦8 | Pair
♣9,♣7,♣K,♥9,♥6 | Pair
♣9,♣7,♣K,♥9,♣8 | Pair
♣9,♣7,♣K,♥9,♥7 | Two Pairs
♣9,♣7,♣K,♥9,♦8 | Pair
♣9,♣7,♣K,♥6,♥7 | Pair
♣9,♣7,♣K,♣8,♥7 | Pair
♣9,♣7,♣K,♣8,♦8 | Pair
♣9,♣7,♣K,♥7,♦8 | Pair
♣9,♣7,♥9,♥6,♣8 | Pair
♣9,♣7,♥9,♥6,♥7 | Two Pairs
♣9,♣7,♥9,♥6,♦8 | Pair
♣9,♣7,♥9,♣8,♥7 | Two Pairs
♣9,♣7,♥9,♣8,♦8 | Two Pairs
♣9,♣7,♥9,♥7,♦8 | Two Pairs
♣9,♣7,♥6,♣8,♥7 | Pair
♣9,♣7,♥6,♣8,♦8 | Pair
♣9,♣7,♥6,♥7,♦8 | Pair
♣9,♣7,♣8,♥7,♦8 | Two Pairs
♣9,♥K,♣K,♥9,♥6 | Two Pairs
♣9,♥K,♣K,♥9,♣8 | Two Pairs
♣9,♥K,♣K,♥9,♥7 | Two Pairs
♣9,♥K,♣K,♥9,♦8 | Two Pairs
♣9,♥K,♣K,♥6,♣8 | Pair
♣9,♥K,♣K,♥6,♥7 | Pair
♣9,♥K,♣K,♥6,♦8 | Pair
♣9,♥K,♣K,♣8,♥7 | Pair
♣9,♥K,♣K,♣8,♦8 | Two Pairs
♣9,♥K,♣K,♥7,♦8 | Pair
♣9,♥K,♥9,♥6,♣8 | Pair
♣9,♥K,♥9,♥6,♥7 | Pair
♣9,♥K,♥9,♥6,♦8 | Pair
♣9,♥K,♥9,♣8,♥7 | Pair
♣9,♥K,♥9,♣8,♦8 | Two Pairs
♣9,♥K,♥9,♥7,♦8 | Pair
♣9,♥K,♥6,♣8,♦8 | Pair
♣9,♥K,♣8,♥7,♦8 | Pair
♣9,♣K,♥9,♥6,♣8 | Pair
♣9,♣K,♥9,♥6,♥7 | Pair
♣9,♣K,♥9,♥6,♦8 | Pair
♣9,♣K,♥9,♣8,♥7 | Pair
♣9,♣K,♥9,♣8,♦8 | Two Pairs
♣9,♣K,♥9,♥7,♦8 | Pair
♣9,♣K,♥6,♣8,♦8 | Pair
♣9,♣K,♣8,♥7,♦8 | Pair
♣9,♥9,♥6,♣8,♥7 | Pair
♣9,♥9,♥6,♣8,♦8 | Two Pairs
♣9,♥9,♥6,♥7,♦8 | Pair
♣9,♥9,♣8,♥7,♦8 | Two Pairs
♣9,♥6,♣8,♥7,♦8 | Pair
♠5,♠7,♣4,♣7,♥K | Pair
♠5,♠7,♣4,♣7,♣K | Pair
♠5,♠7,♣4,♣7,♥9 | Pair
♠5,♠7,♣4,♣7,♥6 | Pair
♠5,♠7,♣4,♣7,♣8 | Pair
♠5,♠7,♣4,♣7,♥7 | Three Of A Kind
♠5,♠7,♣4,♣7,♦8 | Pair
♠5,♠7,♣4,♥K,♣K | Pair
♠5,♠7,♣4,♥K,♥7 | Pair
♠5,♠7,♣4,♣K,♥7 | Pair
♠5,♠7,♣4,♥9,♥7 | Pair
♠5,♠7,♣4,♥6,♣8 | Straight
♠5,♠7,♣4,♥6,♥7 | Pair
♠5,♠7,♣4,♥6,♦8 | Straight
♠5,♠7,♣4,♣8,♥7 | Pair
♠5,♠7,♣4,♣8,♦8 | Pair
♠5,♠7,♣4,♥7,♦8 | Pair
♠5,♠7,♣7,♥K,♣K | Two Pairs
♠5,♠7,♣7,♥K,♥9 | Pair
♠5,♠7,♣7,♥K,♥6 | Pair
♠5,♠7,♣7,♥K,♣8 | Pair
♠5,♠7,♣7,♥K,♥7 | Three Of A Kind
♠5,♠7,♣7,♥K,♦8 | Pair
♠5,♠7,♣7,♣K,♥9 | Pair
♠5,♠7,♣7,♣K,♥6 | Pair
♠5,♠7,♣7,♣K,♣8 | Pair
♠5,♠7,♣7,♣K,♥7 | Three Of A Kind
♠5,♠7,♣7,♣K,♦8 | Pair
♠5,♠7,♣7,♥9,♥6 | Pair
♠5,♠7,♣7,♥9,♣8 | Pair
♠5,♠7,♣7,♥9,♥7 | Three Of A Kind
♠5,♠7,♣7,♥9,♦8 | Pair
♠5,♠7,♣7,♥6,♣8 | Pair
♠5,♠7,♣7,♥6,♥7 | Three Of A Kind
♠5,♠7,♣7,♥6,♦8 | Pair
♠5,♠7,♣7,♣8,♥7 | Three Of A Kind
♠5,♠7,♣7,♣8,♦8 | Two Pairs
♠5,♠7,♣7,♥7,♦8 | Three Of A Kind
♠5,♠7,♥K,♣K,♥9 | Pair
♠5,♠7,♥K,♣K,♥6 | Pair
♠5,♠7,♥K,♣K,♣8 | Pair
♠5,♠7,♥K,♣K,♥7 | Two Pairs
♠5,♠7,♥K,♣K,♦8 | Pair
♠5,♠7,♥K,♥9,♥7 | Pair
♠5,♠7,♥K,♥6,♥7 | Pair
♠5,♠7,♥K,♣8,♥7 | Pair
♠5,♠7,♥K,♣8,♦8 | Pair
♠5,♠7,♥K,♥7,♦8 | Pair
♠5,♠7,♣K,♥9,♥7 | Pair
♠5,♠7,♣K,♥6,♥7 | Pair
♠5,♠7,♣K,♣8,♥7 | Pair
♠5,♠7,♣K,♣8,♦8 | Pair
♠5,♠7,♣K,♥7,♦8 | Pair
♠5,♠7,♥9,♥6,♣8 | Straight
♠5,♠7,♥9,♥6,♥7 | Pair
♠5,♠7,♥9,♥6,♦8 | Straight
♠5,♠7,♥9,♣8,♥7 | Pair
♠5,♠7,♥9,♣8,♦8 | Pair
♠5,♠7,♥9,♥7,♦8 | Pair
♠5,♠7,♥6,♣8,♥7 | Pair
♠5,♠7,♥6,♣8,♦8 | Pair
♠5,♠7,♥6,♥7,♦8 | Pair
♠5,♠7,♣8,♥7,♦8 | Two Pairs
♠5,♣4,♣7,♥K,♣K | Pair
♠5,♣4,♣7,♥K,♥7 | Pair
♠5,♣4,♣7,♣K,♥7 | Pair
♠5,♣4,♣7,♥9,♥7 | Pair
♠5,♣4,♣7,♥6,♣8 | Straight
♠5,♣4,♣7,♥6,♥7 | Pair
♠5,♣4,♣7,♥6,♦8 | Straight
♠5,♣4,♣7,♣8,♥7 | Pair
♠5,♣4,♣7,♣8,♦8 | Pair
♠5,♣4,♣7,♥7,♦8 | Pair
♠5,♣4,♥K,♣K,♥9 | Pair
♠5,♣4,♥K,♣K,♥6 | Pair
♠5,♣4,♥K,♣K,♣8 | Pair
♠5,♣4,♥K,♣K,♥7 | Pair
♠5,♣4,♥K,♣K,♦8 | Pair
♠5,♣4,♥K,♣8,♦8 | Pair
♠5,♣4,♣K,♣8,♦8 | Pair
♠5,♣4,♥9,♣8,♦8 | Pair
♠5,♣4,♥6,♣8,♥7 | Straight
♠5,♣4,♥6,♣8,♦8 | Pair
♠5,♣4,♥6,♥7,♦8 | Straight
♠5,♣4,♣8,♥7,♦8 | Pair
♠5,♣7,♥K,♣K,♥9 | Pair
♠5,♣7,♥K,♣K,♥6 | Pair
♠5,♣7,♥K,♣K,♣8 | Pair
♠5,♣7,♥K,♣K,♥7 | Two Pairs
♠5,♣7,♥K,♣K,♦8 | Pair
♠5,♣7,♥K,♥9,♥7 | Pair
♠5,♣7,♥K,♥6,♥7 | Pair
♠5,♣7,♥K,♣8,♥7 | Pair
♠5,♣7,♥K,♣8,♦8 | Pair
♠5,♣7,♥K,♥7,♦8 | Pair
♠5,♣7,♣K,♥9,♥7 | Pair
♠5,♣7,♣K,♥6,♥7 | Pair
♠5,♣7,♣K,♣8,♥7 | Pair
♠5,♣7,♣K,♣8,♦8 | Pair
♠5,♣7,♣K,♥7,♦8 | Pair
♠5,♣7,♥9,♥6,♣8 | Straight
♠5,♣7,♥9,♥6,♥7 | Pair
♠5,♣7,♥9,♥6,♦8 | Straight
♠5,♣7,♥9,♣8,♥7 | Pair
♠5,♣7,♥9,♣8,♦8 | Pair
♠5,♣7,♥9,♥7,♦8 | Pair
♠5,♣7,♥6,♣8,♥7 | Pair
♠5,♣7,♥6,♣8,♦8 | Pair
♠5,♣7,♥6,♥7,♦8 | Pair
♠5,♣7,♣8,♥7,♦8 | Two Pairs
♠5,♥K,♣K,♥9,♥6 | Pair
♠5,♥K,♣K,♥9,♣8 | Pair
♠5,♥K,♣K,♥9,♥7 | Pair
♠5,♥K,♣K,♥9,♦8 | Pair
♠5,♥K,♣K,♥6,♣8 | Pair
♠5,♥K,♣K,♥6,♥7 | Pair
♠5,♥K,♣K,♥6,♦8 | Pair
♠5,♥K,♣K,♣8,♥7 | Pair
♠5,♥K,♣K,♣8,♦8 | Two Pairs
♠5,♥K,♣K,♥7,♦8 | Pair
♠5,♥K,♥9,♣8,♦8 | Pair
♠5,♥K,♥6,♣8,♦8 | Pair
♠5,♥K,♣8,♥7,♦8 | Pair
♠5,♣K,♥9,♣8,♦8 | Pair
♠5,♣K,♥6,♣8,♦8 | Pair
♠5,♣K,♣8,♥7,♦8 | Pair
♠5,♥9,♥6,♣8,♥7 | Straight
♠5,♥9,♥6,♣8,♦8 | Pair
♠5,♥9,♥6,♥7,♦8 | Straight
♠5,♥9,♣8,♥7,♦8 | Pair
♠5,♥6,♣8,♥7,♦8 | Pair
♠7,♣4,♣7,♥K,♣K | Two Pairs
♠7,♣4,♣7,♥K,♥9 | Pair
♠7,♣4,♣7,♥K,♥6 | Pair
♠7,♣4,♣7,♥K,♣8 | Pair
♠7,♣4,♣7,♥K,♥7 | Three Of A Kind
♠7,♣4,♣7,♥K,♦8 | Pair
♠7,♣4,♣7,♣K,♥9 | Pair
♠7,♣4,♣7,♣K,♥6 | Pair
♠7,♣4,♣7,♣K,♣8 | Pair
♠7,♣4,♣7,♣K,♥7 | Three Of A Kind
♠7,♣4,♣7,♣K,♦8 | Pair
♠7,♣4,♣7,♥9,♥6 | Pair
♠7,♣4,♣7,♥9,♣8 | Pair
♠7,♣4,♣7,♥9,♥7 | Three Of A Kind
♠7,♣4,♣7,♥9,♦8 | Pair
♠7,♣4,♣7,♥6,♣8 | Pair
♠7,♣4,♣7,♥6,♥7 | Three Of A Kind
♠7,♣4,♣7,♥6,♦8 | Pair
♠7,♣4,♣7,♣8,♥7 | Three Of A Kind
♠7,♣4,♣7,♣8,♦8 | Two Pairs
♠7,♣4,♣7,♥7,♦8 | Three Of A Kind
♠7,♣4,♥K,♣K,♥9 | Pair
♠7,♣4,♥K,♣K,♥6 | Pair
♠7,♣4,♥K,♣K,♣8 | Pair
♠7,♣4,♥K,♣K,♥7 | Two Pairs
♠7,♣4,♥K,♣K,♦8 | Pair
♠7,♣4,♥K,♥9,♥7 | Pair
♠7,♣4,♥K,♥6,♥7 | Pair
♠7,♣4,♥K,♣8,♥7 | Pair
♠7,♣4,♥K,♣8,♦8 | Pair
♠7,♣4,♥K,♥7,♦8 | Pair
♠7,♣4,♣K,♥9,♥7 | Pair
♠7,♣4,♣K,♥6,♥7 | Pair
♠7,♣4,♣K,♣8,♥7 | Pair
♠7,♣4,♣K,♣8,♦8 | Pair
♠7,♣4,♣K,♥7,♦8 | Pair
♠7,♣4,♥9,♥6,♥7 | Pair
♠7,♣4,♥9,♣8,♥7 | Pair
♠7,♣4,♥9,♣8,♦8 | Pair
♠7,♣4,♥9,♥7,♦8 | Pair
♠7,♣4,♥6,♣8,♥7 | Pair
♠7,♣4,♥6,♣8,♦8 | Pair
♠7,♣4,♥6,♥7,♦8 | Pair
♠7,♣4,♣8,♥7,♦8 | Two Pairs
♠7,♣7,♥K,♣K,♥9 | Two Pairs
♠7,♣7,♥K,♣K,♥6 | Two Pairs
♠7,♣7,♥K,♣K,♣8 | Two Pairs
♠7,♣7,♥K,♣K,♥7 | Full House
♠7,♣7,♥K,♣K,♦8 | Two Pairs
♠7,♣7,♥K,♥9,♥6 | Pair
♠7,♣7,♥K,♥9,♣8 | Pair
♠7,♣7,♥K,♥9,♥7 | Three Of A Kind
♠7,♣7,♥K,♥9,♦8 | Pair
♠7,♣7,♥K,♥6,♣8 | Pair
♠7,♣7,♥K,♥6,♥7 | Three Of A Kind
♠7,♣7,♥K,♥6,♦8 | Pair
♠7,♣7,♥K,♣8,♥7 | Three Of A Kind
♠7,♣7,♥K,♣8,♦8 | Two Pairs
♠7,♣7,♥K,♥7,♦8 | Three Of A Kind
♠7,♣7,♣K,♥9,♥6 | Pair
♠7,♣7,♣K,♥9,♣8 | Pair
♠7,♣7,♣K,♥9,♥7 | Three Of A Kind
♠7,♣7,♣K,♥9,♦8 | Pair
♠7,♣7,♣K,♥6,♣8 | Pair
♠7,♣7,♣K,♥6,♥7 | Three Of A Kind
♠7,♣7,♣K,♥6,♦8 | Pair
♠7,♣7,♣K,♣8,♥7 | Three Of A Kind
♠7,♣7,♣K,♣8,♦8 | Two Pairs
♠7,♣7,♣K,♥7,♦8 | Three Of A Kind
♠7,♣7,♥9,♥6,♣8 | Pair
♠7,♣7,♥9,♥6,♥7 | Three Of A Kind
♠7,♣7,♥9,♥6,♦8 | Pair
♠7,♣7,♥9,♣8,♥7 | Three Of A Kind
♠7,♣7,♥9,♣8,♦8 | Two Pairs
♠7,♣7,♥9,♥7,♦8 | Three Of A Kind
♠7,♣7,♥6,♣8,♥7 | Three Of A Kind
♠7,♣7,♥6,♣8,♦8 | Two Pairs
♠7,♣7,♥6,♥7,♦8 | Three Of A Kind
♠7,♣7,♣8,♥7,♦8 | Full House
♠7,♥K,♣K,♥9,♥6 | Pair
♠7,♥K,♣K,♥9,♣8 | Pair
♠7,♥K,♣K,♥9,♥7 | Two Pairs
♠7,♥K,♣K,♥9,♦8 | Pair
♠7,♥K,♣K,♥6,♣8 | Pair
♠7,♥K,♣K,♥6,♥7 | Two Pairs
♠7,♥K,♣K,♥6,♦8 | Pair
♠7,♥K,♣K,♣8,♥7 | Two Pairs
♠7,♥K,♣K,♣8,♦8 | Two Pairs
♠7,♥K,♣K,♥7,♦8 | Two Pairs
♠7,♥K,♥9,♥6,♥7 | Pair
♠7,♥K,♥9,♣8,♥7 | Pair
♠7,♥K,♥9,♣8,♦8 | Pair
♠7,♥K,♥9,♥7,♦8 | Pair
♠7,♥K,♥6,♣8,♥7 | Pair
♠7,♥K,♥6,♣8,♦8 | Pair
♠7,♥K,♥6,♥7,♦8 | Pair
♠7,♥K,♣8,♥7,♦8 | Two Pairs
♠7,♣K,♥9,♥6,♥7 | Pair
♠7,♣K,♥9,♣8,♥7 | Pair
♠7,♣K,♥9,♣8,♦8 | Pair
♠7,♣K,♥9,♥7,♦8 | Pair
♠7,♣K,♥6,♣8,♥7 | Pair
♠7,♣K,♥6,♣8,♦8 | Pair
♠7,♣K,♥6,♥7,♦8 | Pair
♠7,♣K,♣8,♥7,♦8 | Two Pairs
♠7,♥9,♥6,♣8,♥7 | Pair
♠7,♥9,♥6,♣8,♦8 | Pair
♠7,♥9,♥6,♥7,♦8 | Pair
♠7,♥9,♣8,♥7,♦8 | Two Pairs
♠7,♥6,♣8,♥7,♦8 | Two Pairs
♣4,♣7,♥K,♣K,♥9 | Pair
♣4,♣7,♥K,♣K,♥6 | Pair
♣4,♣7,♥K,♣K,♣8 | Pair
♣4,♣7,♥K,♣K,♥7 | Two Pairs
♣4,♣7,♥K,♣K,♦8 | Pair
♣4,♣7,♥K,♥9,♥7 | Pair
♣4,♣7,♥K,♥6,♥7 | Pair
♣4,♣7,♥K,♣8,♥7 | Pair
♣4,♣7,♥K,♣8,♦8 | Pair
♣4,♣7,♥K,♥7,♦8 | Pair
♣4,♣7,♣K,♥9,♥7 | Pair
♣4,♣7,♣K,♥6,♥7 | Pair
♣4,♣7,♣K,♣8,♥7 | Pair
♣4,♣7,♣K,♣8,♦8 | Pair
♣4,♣7,♣K,♥7,♦8 | Pair
♣4,♣7,♥9,♥6,♥7 | Pair
♣4,♣7,♥9,♣8,♥7 | Pair
♣4,♣7,♥9,♣8,♦8 | Pair
♣4,♣7,♥9,♥7,♦8 | Pair
♣4,♣7,♥6,♣8,♥7 | Pair
♣4,♣7,♥6,♣8,♦8 | Pair
♣4,♣7,♥6,♥7,♦8 | Pair
♣4,♣7,♣8,♥7,♦8 | Two Pairs
♣4,♥K,♣K,♥9,♥6 | Pair
♣4,♥K,♣K,♥9,♣8 | Pair
♣4,♥K,♣K,♥9,♥7 | Pair
♣4,♥K,♣K,♥9,♦8 | Pair
♣4,♥K,♣K,♥6,♣8 | Pair
♣4,♥K,♣K,♥6,♥7 | Pair
♣4,♥K,♣K,♥6,♦8 | Pair
♣4,♥K,♣K,♣8,♥7 | Pair
♣4,♥K,♣K,♣8,♦8 | Two Pairs
♣4,♥K,♣K,♥7,♦8 | Pair
♣4,♥K,♥9,♣8,♦8 | Pair
♣4,♥K,♥6,♣8,♦8 | Pair
♣4,♥K,♣8,♥7,♦8 | Pair
♣4,♣K,♥9,♣8,♦8 | Pair
♣4,♣K,♥6,♣8,♦8 | Pair
♣4,♣K,♣8,♥7,♦8 | Pair
♣4,♥9,♥6,♣8,♦8 | Pair
♣4,♥9,♣8,♥7,♦8 | Pair
♣4,♥6,♣8,♥7,♦8 | Pair
♣7,♥K,♣K,♥9,♥6 | Pair
♣7,♥K,♣K,♥9,♣8 | Pair
♣7,♥K,♣K,♥9,♥7 | Two Pairs
♣7,♥K,♣K,♥9,♦8 | Pair
♣7,♥K,♣K,♥6,♣8 | Pair
♣7,♥K,♣K,♥6,♥7 | Two Pairs
♣7,♥K,♣K,♥6,♦8 | Pair
♣7,♥K,♣K,♣8,♥7 | Two Pairs
♣7,♥K,♣K,♣8,♦8 | Two Pairs
♣7,♥K,♣K,♥7,♦8 | Two Pairs
♣7,♥K,♥9,♥6,♥7 | Pair
♣7,♥K,♥9,♣8,♥7 | Pair
♣7,♥K,♥9,♣8,♦8 | Pair
♣7,♥K,♥9,♥7,♦8 | Pair
♣7,♥K,♥6,♣8,♥7 | Pair
♣7,♥K,♥6,♣8,♦8 | Pair
♣7,♥K,♥6,♥7,♦8 | Pair
♣7,♥K,♣8,♥7,♦8 | Two Pairs
♣7,♣K,♥9,♥6,♥7 | Pair
♣7,♣K,♥9,♣8,♥7 | Pair
♣7,♣K,♥9,♣8,♦8 | Pair
♣7,♣K,♥9,♥7,♦8 | Pair
♣7,♣K,♥6,♣8,♥7 | Pair
♣7,♣K,♥6,♣8,♦8 | Pair
♣7,♣K,♥6,♥7,♦8 | Pair
♣7,♣K,♣8,♥7,♦8 | Two Pairs
♣7,♥9,♥6,♣8,♥7 | Pair
♣7,♥9,♥6,♣8,♦8 | Pair
♣7,♥9,♥6,♥7,♦8 | Pair
♣7,♥9,♣8,♥7,♦8 | Two Pairs
♣7,♥6,♣8,♥7,♦8 | Two Pairs
♥K,♣K,♥9,♥6,♣8 | Pair
♥K,♣K,♥9,♥6,♥7 | Pair
♥K,♣K,♥9,♥6,♦8 | Pair
♥K,♣K,♥9,♣8,♥7 | Pair
♥K,♣K,♥9,♣8,♦8 | Two Pairs
♥K,♣K,♥9,♥7,♦8 | Pair
♥K,♣K,♥6,♣8,♥7 | Pair
♥K,♣K,♥6,♣8,♦8 | Two Pairs
♥K,♣K,♥6,♥7,♦8 | Pair
♥K,♣K,♣8,♥7,♦8 | Two Pairs
♥K,♥9,♥6,♣8,♦8 | Pair
♥K,♥9,♣8,♥7,♦8 | Pair
♥K,♥6,♣8,♥7,♦8 | Pair
♣K,♥9,♥6,♣8,♦8 | Pair
♣K,♥9,♣8,♥7,♦8 | Pair
♣K,♥6,♣8,♥7,♦8 | Pair
♥9,♥6,♣8,♥7,♦8 | Pair
