♠6,♥8,♦J,♥10,♦6 | Pair
♥10,♣7,♠5,♣Q,♣5 | Pair
♥10,♣7,♠5,♣9,♣5 | Pair
♥10,♦Q,♣K,♦7,♠7 | Pair
♥10,♦Q,♣K,♦7,♣Q | Pair
♥10,♦Q,♣K,♣2,♣Q | Pair
♥10,♦Q,♣K,♦6,♣Q | Pair
♥10,♦Q,♣K,♠7,♣Q | Pair
♥10,♦Q,♣K,♠5,♣Q | Pair
♥10,♦Q,♣K,♠5,♣5 | Pair
♥10,♦Q,♣K,♣Q,♣9 | Pair
♥10,♦Q,♣K,♣Q,♣5 | Pair
♥10,♦Q,♦7,♣2,♠7 | Pair
♥10,♦Q,♦7,♣2,♣Q | Pair
♥10,♦Q,♦7,♦6,♠7 | Pair
♥10,♦Q,♦7,♦6,♣Q | Pair
♥10,♦Q,♦7,♠7,♠5 | Pair
♥10,♦Q,♦7,♠7,♣Q | Two Pairs
♥10,♦Q,♦7,♠7,♣9 | Pair
♥10,♦Q,♦7,♠7,♣5 | Pair
♥10,♦Q,♦7,♠5,♣Q | Pair
♥10,♦Q,♦7,♠5,♣5 | Pair
♥10,♦Q,♦7,♣Q,♣9 | Pair
♥10,♦Q,♦7,♣Q,♣5 | Pair
♥10,♦Q,♣2,♦6,♣Q | Pair
♥10,♦Q,♣2,♠7,♣Q | Pair
♥10,♦Q,♣2,♠5,♣Q | Pair
♥10,♦Q,♣2,♠5,♣5 | Pair
♥10,♦Q,♣2,♣Q,♣9 | Pair
♥10,♦Q,♣2,♣Q,♣5 | Pair
♥10,♦Q,♦6,♠7,♣Q | Pair
♥10,♦Q,♦6,♠5,♣Q | Pair
♥10,♦Q,♦6,♠5,♣5 | Pair
♥10,♦Q,♦6,♣Q,♣9 | Pair
♥10,♦Q,♦6,♣Q,♣5 | Pair
♥10,♦Q,♠7,♠5,♣Q | Pair
♥10,♦Q,♠7,♠5,♣5 | Pair
♥10,♦Q,♠7,♣Q,♣9 | Pair
♥10,♦Q,♠7,♣Q,♣5 | Pair
♥10,♦Q,♠5,♣Q,♣9 | Pair
♥10,♦Q,♠5,♣Q,♣5 | Two Pairs
♥10,♦Q,♠5,♣9,♣5 | Pair
♥10,♦Q,♣Q,♣9,♣5 | Pair
♥10,♣K,♦7,♣2,♠7 | Pair
♥10,♣K,♦7,♦6,♠7 | Pair
♥10,♣K,♦7,♠7,♠5 | Pair
♥10,♣K,♦7,♠7,♣Q | Pair
♥10,♣K,♦7,♠7,♣9 | Pair
♥10,♣K,♦7,♠7,♣5 | Pair
♥10,♣K,♦7,♠5,♣5 | Pair
♥10,♣K,♣2,♠5,♣5 | Pair
♥10,♣K,♦6,♠5,♣5 | Pair
♥10,♣K,♠7,♠5,♣5 | Pair
♥10,♣K,♠5,♣Q,♣5 | Pair
♥10,♣K,♠5,♣9,♣5 | Pair
♥10,♦7,♣2,♦6,♠7 | Pair
♥10,♦7,♣2,♠7,♠5 | Pair
♥10,♦7,♣2,♠7,♣Q | Pair
♥10,♦7,♣2,♠7,♣9 | Pair
♥10,♦7,♣2,♠7,♣5 | Pair
♥10,♦7,♣2,♠5,♣5 | Pair
♥10,♦7,♦6,♠7,♠5 | Pair
♥10,♦7,♦6,♠7,♣Q | Pair
♥10,♦7,♦6,♠7,♣9 | Pair
♥10,♦7,♦6,♠7,♣5 | Pair
♥10,♦7,♦6,♠5,♣5 | Pair
♥10,♦7,♠7,♠5,♣Q | Pair
♥10,♦7,♠7,♠5,♣9 | Pair
♥10,♦7,♠7,♠5,♣5 | Two Pairs
♥10,♦7,♠7,♣Q,♣9 | Pair
♥10,♦7,♠7,♣Q,♣5 | Pair
♥10,♦7,♠7,♣9,♣5 | Pair
♥10,♦7,♠5,♣Q,♣5 | Pair
♥10,♦7,♠5,♣9,♣5 | Pair
♥10,♣2,♦6,♠5,♣5 | Pair
♥10,♣2,♠7,♠5,♣5 | Pair
♥10,♣2,♠5,♣Q,♣5 | Pair
♥10,♣2,♠5,♣9,♣5 | Pair
♥10,♦6,♠7,♠5,♣5 | Pair
♥10,♦6,♠5,♣Q,♣5 | Pair
♥10,♦6,♠5,♣9,♣5 | Pair
♥10,♠7,♠5,♣Q,♣5 | Pair
♥10,♠7,♠5,♣9,♣5 | Pair
♥10,♠5,♣Q,♣9,♣5 | Pair
♣7,♦Q,♣K,♦7,♣2 | Pair
♣7,♦Q,♣K,♦7,♦6 | Pair
♣7,♦Q,♣K,♦7,♠7 | Three Of A Kind
♣7,♦Q,♣K,♦7,♠5 | Pair
♣7,♦Q,♣K,♦7,♣Q | Two Pairs
♣7,♦Q,♣K,♦7,♣9 | Pair
♣7,♦Q,♣K,♦7,♣5 | Pair
♣7,♦Q,♣K,♣2,♠7 | Pair
♣7,♦Q,♣K,♣2,♣Q | Pair
♣7,♦Q,♣K,♦6,♠7 | Pair
♣7,♦Q,♣K,♦6,♣Q | Pair
♣7,♦Q,♣K,♠7,♠5 | Pair
♣7,♦Q,♣K,♠7,♣Q | Two Pairs
♣7,♦Q,♣K,♠7,♣9 | Pair
♣7,♦Q,♣K,♠7,♣5 | Pair
♣7,♦Q,♣K,♠5,♣Q | Pair
♣7,♦Q,♣K,♠5,♣5 | Pair
♣7,♦Q,♣K,♣Q,♣9 | Pair
♣7,♦Q,♣K,♣Q,♣5 | Pair
♣7,♦Q,♦7,♣2,♦6 | Pair
♣7,♦Q,♦7,♣2,♠7 | Three Of A Kind
♣7,♦Q,♦7,♣2,♠5 | Pair
♣7,♦Q,♦7,♣2,♣Q | Two Pairs
♣7,♦Q,♦7,♣2,♣9 | Pair
♣7,♦Q,♦7,♣2,♣5 | Pair
♣7,♦Q,♦7,♦6,♠7 | Three Of A Kind
♣7,♦Q,♦7,♦6,♠5 | Pair
♣7,♦Q,♦7,♦6,♣Q | Two Pairs
♣7,♦Q,♦7,♦6,♣9 | Pair
♣7,♦Q,♦7,♦6,♣5 | Pair
♣7,♦Q,♦7,♠7,♠5 | Three Of A Kind
♣7,♦Q,♦7,♠7,♣Q | Full House
♣7,♦Q,♦7,♠7,♣9 | Three Of A Kind
♣7,♦Q,♦7,♠7,♣5 | Three Of A Kind
♣7,♦Q,♦7,♠5,♣Q | Two Pairs
♣7,♦Q,♦7,♠5,♣9 | Pair
♣7,♦Q,♦7,♠5,♣5 | Two Pairs
♣7,♦Q,♦7,♣Q,♣9 | Two Pairs
♣7,♦Q,♦7,♣Q,♣5 | Two Pairs
♣7,♦Q,♦7,♣9,♣5 | Pair
♣7,♦Q,♣2,♦6,♠7 | Pair
♣7,♦Q,♣2,♦6,♣Q | Pair
♣7,♦Q,♣2,♠7,♠5 | Pair
♣7,♦Q,♣2,♠7,♣Q | Two Pairs
♣7,♦Q,♣2,♠7,♣9 | Pair
♣7,♦Q,♣2,♠7,♣5 | Pair
♣7,♦Q,♣2,♠5,♣Q | Pair
♣7,♦Q,♣2,♠5,♣5 | Pair
♣7,♦Q,♣2,♣Q,♣9 | Pair
♣7,♦Q,♣2,♣Q,♣5 | Pair
♣7,♦Q,♦6,♠7,♠5 | Pair
♣7,♦Q,♦6,♠7,♣Q | Two Pairs
♣7,♦Q,♦6,♠7,♣9 | Pair
♣7,♦Q,♦6,♠7,♣5 | Pair
♣7,♦Q,♦6,♠5,♣Q | Pair
♣7,♦Q,♦6,♠5,♣5 | Pair
♣7,♦Q,♦6,♣Q,♣9 | Pair
♣7,♦Q,♦6,♣Q,♣5 | Pair
♣7,♦Q,♠7,♠5,♣Q | Two Pairs
♣7,♦Q,♠7,♠5,♣9 | Pair
♣7,♦Q,♠7,♠5,♣5 | Two Pairs
♣7,♦Q,♠7,♣Q,♣9 | Two Pairs
♣7,♦Q,♠7,♣Q,♣5 | Two Pairs
♣7,♦Q,♠7,♣9,♣5 | Pair
♣7,♦Q,♠5,♣Q,♣9 | Pair
♣7,♦Q,♠5,♣Q,♣5 | Two Pairs
♣7,♦Q,♠5,♣9,♣5 | Pair
♣7,♦Q,♣Q,♣9,♣5 | Pair
♣7,♣K,♦7,♣2,♦6 | Pair
♣7,♣K,♦7,♣2,♠7 | Three Of A Kind
♣7,♣K,♦7,♣2,♠5 | Pair
♣7,♣K,♦7,♣2,♣Q | Pair
♣7,♣K,♦7,♣2,♣9 | Pair
♣7,♣K,♦7,♣2,♣5 | Pair
♣7,♣K,♦7,♦6,♠7 | Three Of A Kind
♣7,♣K,♦7,♦6,♠5 | Pair
♣7,♣K,♦7,♦6,♣Q | Pair
♣7,♣K,♦7,♦6,♣9 | Pair
♣7,♣K,♦7,♦6,♣5 | Pair
♣7,♣K,♦7,♠7,♠5 | Three Of A Kind
♣7,♣K,♦7,♠7,♣Q | Three Of A Kind
♣7,♣K,♦7,♠7,♣9 | Three Of A Kind
♣7,♣K,♦7,♠7,♣5 | Three Of A Kind
♣7,♣K,♦7,♠5,♣Q | Pair
♣7,♣K,♦7,♠5,♣9 | Pair
♣7,♣K,♦7,♠5,♣5 | Two Pairs
♣7,♣K,♦7,♣Q,♣9 | Pair
♣7,♣K,♦7,♣Q,♣5 | Pair
♣7,♣K,♦7,♣9,♣5 | Pair
♣7,♣K,♣2,♦6,♠7 | Pair
♣7,♣K,♣2,♠7,♠5 | Pair
♣7,♣K,♣2,♠7,♣Q | Pair
♣7,♣K,♣2,♠7,♣9 | Pair
♣7,♣K,♣2,♠7,♣5 | Pair
♣7,♣K,♣2,♠5,♣5 | Pair
♣7,♣K,♣2,♣Q,♣9 | Flush
♣7,♣K,♣2,♣Q,♣5 | Flush
♣7,♣K,♣2,♣9,♣5 | Flush
♣7,♣K,♦6,♠7,♠5 | Pair
♣7,♣K,♦6,♠7,♣Q | Pair
♣7,♣K,♦6,♠7,♣9 | Pair
♣7,♣K,♦6,♠7,♣5 | Pair
♣7,♣K,♦6,♠5,♣5 | Pair
♣7,♣K,♠7,♠5,♣Q | Pair
♣7,♣K,♠7,♠5,♣9 | Pair
♣7,♣K,♠7,♠5,♣5 | Two Pairs
♣7,♣K,♠7,♣Q,♣9 | Pair
♣7,♣K,♠7,♣Q,♣5 | Pair
♣7,♣K,♠7,♣9,♣5 | Pair
♣7,♣K,♠5,♣Q,♣5 | Pair
♣7,♣K,♠5,♣9,♣5 | Pair
♣7,♣K,♣Q,♣9,♣5 | Flush
♣7,♦7,♣2,♦6,♠7 | Three Of A Kind
♣7,♦7,♣2,♦6,♠5 | Pair
♣7,♦7,♣2,♦6,♣Q | Pair
♣7,♦7,♣2,♦6,♣9 | Pair
♣7,♦7,♣2,♦6,♣5 | Pair
♣7,♦7,♣2,♠7,♠5 | Three Of A Kind
♣7,♦7,♣2,♠7,♣Q | Three Of A Kind
♣7,♦7,♣2,♠7,♣9 | Three Of A Kind
♣7,♦7,♣2,♠7,♣5 | Three Of A Kind
♣7,♦7,♣2,♠5,♣Q | Pair
♣7,♦7,♣2,♠5,♣9 | Pair
♣7,♦7,♣2,♠5,♣5 | Two Pairs
♣7,♦7,♣2,♣Q,♣9 | Pair
♣7,♦7,♣2,♣Q,♣5 | Pair
♣7,♦7,♣2,♣9,♣5 | Pair
♣7,♦7,♦6,♠7,♠5 | Three Of A Kind
♣7,♦7,♦6,♠7,♣Q | Three Of A Kind
♣7,♦7,♦6,♠7,♣9 | Three Of A Kind
♣7,♦7,♦6,♠7,♣5 | Three Of A Kind
♣7,♦7,♦6,♠5,♣Q | Pair
♣7,♦7,♦6,♠5,♣9 | Pair
♣7,♦7,♦6,♠5,♣5 | Two Pairs
♣7,♦7,♦6,♣Q,♣9 | Pair
♣7,♦7,♦6,♣Q,♣5 | Pair
♣7,♦7,♦6,♣9,♣5 | Pair
♣7,♦7,♠7,♠5,♣Q | Three Of A Kind
♣7,♦7,♠7,♠5,♣9 | Three Of A Kind
♣7,♦7,♠7,♠5,♣5 | Full House
♣7,♦7,♠7,♣Q,♣9 | Three Of A Kind
♣7,♦7,♠7,♣Q,♣5 | Three Of A Kind
♣7,♦7,♠7,♣9,♣5 | Three Of A Kind
♣7,♦7,♠5,♣Q,♣9 | Pair
♣7,♦7,♠5,♣Q,♣5 | Two Pairs
♣7,♦7,♠5,♣9,♣5 | Two Pairs
♣7,♦7,♣Q,♣9,♣5 | Pair
♣7,♣2,♦6,♠7,♠5 | Pair
♣7,♣2,♦6,♠7,♣Q | Pair
♣7,♣2,♦6,♠7,♣9 | Pair
♣7,♣2,♦6,♠7,♣5 | Pair
♣7,♣2,♦6,♠5,♣5 | Pair
♣7,♣2,♠7,♠5,♣Q | Pair
♣7,♣2,♠7,♠5,♣9 | Pair
♣7,♣2,♠7,♠5,♣5 | Two Pairs
♣7,♣2,♠7,♣Q,♣9 | Pair
♣7,♣2,♠7,♣Q,♣5 | Pair
♣7,♣2,♠7,♣9,♣5 | Pair
♣7,♣2,♠5,♣Q,♣5 | Pair
♣7,♣2,♠5,♣9,♣5 | Pair
♣7,♣2,♣Q,♣9,♣5 | Flush
♣7,♦6,♠7,♠5,♣Q | Pair
♣7,♦6,♠7,♠5,♣9 | Pair
♣7,♦6,♠7,♠5,♣5 | Two Pairs
♣7,♦6,♠7,♣Q,♣9 | Pair
♣7,♦6,♠7,♣Q,♣5 | Pair
♣7,♦6,♠7,♣9,♣5 | Pair
♣7,♦6,♠5,♣Q,♣5 | Pair
♣7,♦6,♠5,♣9,♣5 | Pair
♣7,♠7,♠5,♣Q,♣9 | Pair
♣7,♠7,♠5,♣Q,♣5 | Two Pairs
♣7,♠7,♠5,♣9,♣5 | Two Pairs
♣7,♠7,♣Q,♣9,♣5 | Pair
♣7,♠5,♣Q,♣9,♣5 | Pair
♦Q,♣K,♦7,♣2,♠7 | Pair
♦Q,♣K,♦7,♣2,♣Q | Pair
♦Q,♣K,♦7,♦6,♠7 | Pair
♦Q,♣K,♦7,♦6,♣Q | Pair
♦Q,♣K,♦7,♠7,♠5 | Pair
♦Q,♣K,♦7,♠7,♣Q | Two Pairs
♦Q,♣K,♦7,♠7,♣9 | Pair
♦Q,♣K,♦7,♠7,♣5 | Pair
♦Q,♣K,♦7,♠5,♣Q | Pair
♦Q,♣K,♦7,♠5,♣5 | Pair
♦Q,♣K,♦7,♣Q,♣9 | Pair
♦Q,♣K,♦7,♣Q,♣5 | Pair
♦Q,♣K,♣2,♦6,♣Q | Pair
♦Q,♣K,♣2,♠7,♣Q | Pair
♦Q,♣K,♣2,♠5,♣Q | Pair
♦Q,♣K,♣2,♠5,♣5 | Pair
♦Q,♣K,♣2,♣Q,♣9 | Pair
♦Q,♣K,♣2,♣Q,♣5 | Pair
♦Q,♣K,♦6,♠7,♣Q | Pair
♦Q,♣K,♦6,♠5,♣Q | Pair
♦Q,♣K,♦6,♠5,♣5 | Pair
♦Q,♣K,♦6,♣Q,♣9 | Pair
♦Q,♣K,♦6,♣Q,♣5 | Pair
♦Q,♣K,♠7,♠5,♣Q | Pair
♦Q,♣K,♠7,♠5,♣5 | Pair
♦Q,♣K,♠7,♣Q,♣9 | Pair
♦Q,♣K,♠7,♣Q,♣5 | Pair
♦Q,♣K,♠5,♣Q,♣9 | Pair
♦Q,♣K,♠5,♣Q,♣5 | Two Pairs
♦Q,♣K,♠5,♣9,♣5 | Pair
♦Q,♣K,♣Q,♣9,♣5 | Pair
♦Q,♦7,♣2,♦6,♠7 | Pair
♦Q,♦7,♣2,♦6,♣Q | Pair
♦Q,♦7,♣2,♠7,♠5 | Pair
♦Q,♦7,♣2,♠7,♣Q | Two Pairs
♦Q,♦7,♣2,♠7,♣9 | Pair
♦Q,♦7,♣2,♠7,♣5 | Pair
♦Q,♦7,♣2,♠5,♣Q | Pair
♦Q,♦7,♣2,♠5,♣5 | Pair
♦Q,♦7,♣2,♣Q,♣9 | Pair
♦Q,♦7,♣2,♣Q,♣5 | Pair
♦Q,♦7,♦6,♠7,♠5 | Pair
♦Q,♦7,♦6,♠7,♣Q | Two Pairs
♦Q,♦7,♦6,♠7,♣9 | Pair
♦Q,♦7,♦6,♠7,♣5 | Pair
♦Q,♦7,♦6,♠5,♣Q | Pair
♦Q,♦7,♦6,♠5,♣5 | Pair
♦Q,♦7,♦6,♣Q,♣9 | Pair
♦Q,♦7,♦6,♣Q,♣5 | Pair
♦Q,♦7,♠7,♠5,♣Q | Two Pairs
♦Q,♦7,♠7,♠5,♣9 | Pair
♦Q,♦7,♠7,♠5,♣5 | Two Pairs
♦Q,♦7,♠7,♣Q,♣9 | Two Pairs
♦Q,♦7,♠7,♣Q,♣5 | Two Pairs
♦Q,♦7,♠7,♣9,♣5 | Pair
♦Q,♦7,♠5,♣Q,♣9 | Pair
♦Q,♦7,♠5,♣Q,♣5 | Two Pairs
♦Q,♦7,♠5,♣9,♣5 | Pair
♦Q,♦7,♣Q,♣9,♣5 | Pair
♦Q,♣2,♦6,♠7,♣Q | Pair
♦Q,♣2,♦6,♠5,♣Q | Pair
♦Q,♣2,♦6,♠5,♣5 | Pair
♦Q,♣2,♦6,♣Q,♣9 | Pair
♦Q,♣2,♦6,♣Q,♣5 | Pair
♦Q,♣2,♠7,♠5,♣Q | Pair
♦Q,♣2,♠7,♠5,♣5 | Pair
♦Q,♣2,♠7,♣Q,♣9 | Pair
♦Q,♣2,♠7,♣Q,♣5 | Pair
♦Q,♣2,♠5,♣Q,♣9 | Pair
♦Q,♣2,♠5,♣Q,♣5 | Two Pairs
♦Q,♣2,♠5,♣9,♣5 | Pair
♦Q,♣2,♣Q,♣9,♣5 | Pair
♦Q,♦6,♠7,♠5,♣Q | Pair
♦Q,♦6,♠7,♠5,♣5 | Pair
♦Q,♦6,♠7,♣Q,♣9 | Pair
♦Q,♦6,♠7,♣Q,♣5 | Pair
♦Q,♦6,♠5,♣Q,♣9 | Pair
♦Q,♦6,♠5,♣Q,♣5 | Two Pairs
♦Q,♦6,♠5,♣9,♣5 | Pair
♦Q,♦6,♣Q,♣9,♣5 | Pair
♦Q,♠7,♠5,♣Q,♣9 | Pair
♦Q,♠7,♠5,♣Q,♣5 | Two Pairs
♦Q,♠7,♠5,♣9,♣5 | Pair
♦Q,♠7,♣Q,♣9,♣5 | Pair
♦Q,♠5,♣Q,♣9,♣5 | Two Pairs
♣K,♦7,♣2,♦6,♠7 | Pair
♣K,♦7,♣2,♠7,♠5 | Pair
♣K,♦7,♣2,♠7,♣Q | Pair
♣K,♦7,♣2,♠7,♣9 | Pair
♣K,♦7,♣2,♠7,♣5 | Pair
♣K,♦7,♣2,♠5,♣5 | Pair
♣K,♦7,♦6,♠7,♠5 | Pair
♣K,♦7,♦6,♠7,♣Q | Pair
♣K,♦7,♦6,♠7,♣9 | Pair
♣K,♦7,♦6,♠7,♣5 | Pair
♣K,♦7,♦6,♠5,♣5 | Pair
♣K,♦7,♠7,♠5,♣Q | Pair
♣K,♦7,♠7,♠5,♣9 | Pair
♣K,♦7,♠7,♠5,♣5 | Two Pairs
♣K,♦7,♠7,♣Q,♣9 | Pair
♣K,♦7,♠7,♣Q,♣5 | Pair
♣K,♦7,♠7,♣9,♣5 | Pair
♣K,♦7,♠5,♣Q,♣5 | Pair
♣K,♦7,♠5,♣9,♣5 | Pair
♣K,♣2,♦6,♠5,♣5 | Pair
♣K,♣2,♠7,♠5,♣5 | Pair
♣K,♣2,♠5,♣Q,♣5 | Pair
♣K,♣2,♠5,♣9,♣5 | Pair
♣K,♣2,♣Q,♣9,♣5 | Flush
♣K,♦6,♠7,♠5,♣5 | Pair
♣K,♦6,♠5,♣Q,♣5 | Pair
♣K,♦6,♠5,♣9,♣5 | Pair
♣K,♠7,♠5,♣Q,♣5 | Pair
♣K,♠7,♠5,♣9,♣5 | Pair
♣K,♠5,♣Q,♣9,♣5 | Pair
♦7,♣2,♦6,♠7,♠5 | Pair
♦7,♣2,♦6,♠7,♣Q | Pair
♦7,♣2,♦6,♠7,♣9 | Pair
♦7,♣2,♦6,♠7,♣5 | Pair
♦7,♣2,♦6,♠5,♣5 | Pair
♦7,♣2,♠7,♠5,♣Q | Pair
♦7,♣2,♠7,♠5,♣9 | Pair
♦7,♣2,♠7,♠5,♣5 | Two Pairs
♦7,♣2,♠7,♣Q,♣9 | Pair
♦7,♣2,♠7,♣Q,♣5 | Pair
♦7,♣2,♠7,♣9,♣5 | Pair
♦7,♣2,♠5,♣Q,♣5 | Pair
♦7,♣2,♠5,♣9,♣5 | Pair
♦7,♦6,♠7,♠5,♣Q | Pair
♦7,♦6,♠7,♠5,♣9 | Pair
♦7,♦6,♠7,♠5,♣5 | Two Pairs
♦7,♦6,♠7,♣Q,♣9 | Pair
♦7,♦6,♠7,♣Q,♣5 | Pair
♦7,♦6,♠7,♣9,♣5 | Pair
♦7,♦6,♠5,♣Q,♣5 | Pair
♦7,♦6,♠5,♣9,♣5 | Pair
♦7,♠7,♠5,♣Q,♣9 | Pair
♦7,♠7,♠5,♣Q,♣5 | Two Pairs
♦7,♠7,♠5,♣9,♣5 | Two Pairs
♦7,♠7,♣Q,♣9,♣5 | Pair
♦7,♠5,♣Q,♣9,♣5 | Pair
♣2,♦6,♠7,♠5,♣5 | Pair
♣2,♦6,♠5,♣Q,♣5 | Pair
♣2,♦6,♠5,♣9,♣5 | Pair
♣2,♠7,♠5,♣Q,♣5 | Pair
♣2,♠7,♠5,♣9,♣5 | Pair
♣2,♠5,♣Q,♣9,♣5 | Pair
♦6,♠7,♠5,♣Q,♣5 | Pair
♦6,♠7,♠5,♣9,♣5 | Pair
♦6,♠5,♣Q,♣9,♣5 | Pair
♠7,♠5,♣Q,♣9,♣5 | Pair
