♦6,♥J,♣10,♠2,♥6 | Pair
♠2,♥K,♥7,♣7,♦2 | Two Pairs
♠2,♥K,♥7,♣7,♥8 | Pair
♠2,♥K,♥7,♦2,♥8 | Pair
♠2,♥K,♥10,♦5,♦2 | Pair
♠2,♥K,♥10,♣7,♦2 | Pair
♠2,♥K,♥10,♦2,♥8 | Pair
♠2,♥K,♦5,♣7,♦2 | Pair
♠2,♥K,♦5,♦2,♥8 | Pair
♠2,♥K,♣7,♦2,♥8 | Pair
♠2,♦A,♥6,♥Q,♦2 | Pair
♠2,♦A,♥6,♥7,♣7 | Pair
♠2,♦A,♥6,♥7,♦2 | Pair
♠2,♦A,♥6,♥10,♦2 | Pair
♠2,♦A,♥6,♦5,♦2 | Pair
♠2,♦A,♥6,♣7,♦2 | Pair
♠2,♦A,♥6,♦2,♥8 | Pair
♠2,♦A,♥Q,♥7,♣7 | Pair
♠2,♦A,♥Q,♥7,♦2 | Pair
♠2,♦A,♥Q,♥10,♦2 | Pair
♠2,♦A,♥Q,♦5,♦2 | Pair
♠2,♦A,♥Q,♣7,♦2 | Pair
♠2,♦A,♥Q,♦2,♥8 | Pair
♠2,♦A,♥7,♥10,♣7 | Pair
♠2,♦A,♥7,♥10,♦2 | Pair
♠2,♦A,♥7,♦5,♣7 | Pair
♠2,♦A,♥7,♦5,♦2 | Pair
♠2,♦A,♥7,♣7,♦2 | Two Pairs
♠2,♦A,♥7,♣7,♥8 | Pair
♠2,♦A,♥7,♦2,♥8 | Pair
♠2,♦A,♥10,♦5,♦2 | Pair
♠2,♦A,♥10,♣7,♦2 | Pair
♠2,♦A,♥10,♦2,♥8 | Pair
♠2,♦A,♦5,♣7,♦2 | Pair
♠2,♦A,♦5,♦2,♥8 | Pair
♠2,♦A,♣7,♦2,♥8 | Pair
♠2,♥6,♥Q,♥7,♣7 | Pair
♠2,♥6,♥Q,♥7,♦2 | Pair
♠2,♥6,♥Q,♥10,♦2 | Pair
♠2,♥6,♥Q,♦5,♦2 | Pair
♠2,♥6,♥Q,♣7,♦2 | Pair
♠2,♥6,♥Q,♦2,♥8 | Pair
♠2,♥6,♥7,♥10,♣7 | Pair
♠2,♥6,♥7,♥10,♦2 | Pair
♠2,♥6,♥7,♦5,♣7 | Pair
♠2,♥6,♥7,♦5,♦2 | Pair
♠2,♥6,♥7,♣7,♦2 | Two Pairs
♠2,♥6,♥7,♣7,♥8 | Pair
♠2,♥6,♥7,♦2,♥8 | Pair
♠2,♥6,♥10,♦5,♦2 | Pair
♠2,♥6,♥10,♣7,♦2 | Pair
♠2,♥6,♥10,♦2,♥8 | Pair
♠2,♥6,♦5,♣7,♦2 | Pair
♠2,♥6,♦5,♦2,♥8 | Pair
♠2,♥6,♣7,♦2,♥8 | Pair
♠2,♥Q,♥7,♥10,♣7 | Pair
♠2,♥Q,♥7,♥10,♦2 | Pair
♠2,♥Q,♥7,♦5,♣7 | Pair
♠2,♥Q,♥7,♦5,♦2 | Pair
♠2,♥Q,♥7,♣7,♦2 | Two Pairs
♠2,♥Q,♥7,♣7,♥8 | Pair
♠2,♥Q,♥7,♦2,♥8 | Pair
♠2,♥Q,♥10,♦5,♦2 | Pair
♠2,♥Q,♥10,♣7,♦2 | Pair
♠2,♥Q,♥10,♦2,♥8 | Pair
♠2,♥Q,♦5,♣7,♦2 | Pair
♠2,♥Q,♦5,♦2,♥8 | Pair
♠2,♥Q,♣7,♦2,♥8 | Pair
♠2,♥7,♥10,♦5,♣7 | Pair
♠2,♥7,♥10,♦5,♦2 | Pair
♠2,♥7,♥10,♣7,♦2 | Two Pairs
♠2,♥7,♥10,♣7,♥8 | Pair
♠2,♥7,♥10,♦2,♥8 | Pair
♠2,♥7,♦5,♣7,♦2 | Two Pairs
♠2,♥7,♦5,♣7,♥8 | Pair
♠2,♥7,♦5,♦2,♥8 | Pair
♠2,♥7,♣7,♦2,♥8 | Two Pairs
♠2,♥10,♦5,♣7,♦2 | Pair
♠2,♥10,♦5,♦2,♥8 | Pair
♠2,♥10,♣7,♦2,♥8 | Pair
♠2,♦5,♣7,♦2,♥8 | Pair
♠8,♥K,♦A,♥6,♥8 | Pair
♠8,♥K,♦A,♥Q,♥8 | Pair
♠8,♥K,♦A,♥7,♣7 | Pair
♠8,♥K,♦A,♥7,♥8 | Pair
♠8,♥K,♦A,♥10,♥8 | Pair
♠8,♥K,♦A,♦5,♥8 | Pair
♠8,♥K,♦A,♣7,♥8 | Pair
♠8,♥K,♦A,♦2,♥8 | Pair
♠8,♥K,♥6,♥Q,♥8 | Pair
♠8,♥K,♥6,♥7,♣7 | Pair
♠8,♥K,♥6,♥7,♥8 | Pair
♠8,♥K,♥6,♥10,♥8 | Pair
♠8,♥K,♥6,♦5,♥8 | Pair
♠8,♥K,♥6,♣7,♥8 | Pair
♠8,♥K,♥6,♦2,♥8 | Pair
♠8,♥K,♥Q,♥7,♣7 | Pair
♠8,♥K,♥Q,♥7,♥8 | Pair
♠8,♥K,♥Q,♥10,♥8 | Pair
♠8,♥K,♥Q,♦5,♥8 | Pair
♠8,♥K,♥Q,♣7,♥8 | Pair
♠8,♥K,♥Q,♦2,♥8 | Pair
♠8,♥K,♥7,♥10,♣7 | Pair
♠8,♥K,♥7,♥10,♥8 | Pair
♠8,♥K,♥7,♦5,♣7 | Pair
♠8,♥K,♥7,♦5,♥8 | Pair
♠8,♥K,♥7,♣7,♦2 | Pair
♠8,♥K,♥7,♣7,♥8 | Two Pairs
♠8,♥K,♥7,♦2,♥8 | Pair
♠8,♥K,♥10,♦5,♥8 | Pair
♠8,♥K,♥10,♣7,♥8 | Pair
♠8,♥K,♥10,♦2,♥8 | Pair
♠8,♥K,♦5,♣7,♥8 | Pair
♠8,♥K,♦5,♦2,♥8 | Pair
♠8,♥K,♣7,♦2,♥8 | Pair
♠8,♦A,♥6,♥Q,♥8 | Pair
♠8,♦A,♥6,♥7,♣7 | Pair
♠8,♦A,♥6,♥7,♥8 | Pair
♠8,♦A,♥6,♥10,♥8 | Pair
♠8,♦A,♥6,♦5,♥8 | Pair
♠8,♦A,♥6,♣7,♥8 | Pair
♠8,♦A,♥6,♦2,♥8 | Pair
♠8,♦A,♥Q,♥7,♣7 | Pair
♠8,♦A,♥Q,♥7,♥8 | Pair
♠8,♦A,♥Q,♥10,♥8 | Pair
♠8,♦A,♥Q,♦5,♥8 | Pair
♠8,♦A,♥Q,♣7,♥8 | Pair
♠8,♦A,♥Q,♦2,♥8 | Pair
♠8,♦A,♥7,♥10,♣7 | Pair
♠8,♦A,♥7,♥10,♥8 | Pair
♠8,♦A,♥7,♦5,♣7 | Pair
♠8,♦A,♥7,♦5,♥8 | Pair
♠8,♦A,♥7,♣7,♦2 | Pair
♠8,♦A,♥7,♣7,♥8 | Two Pairs
♠8,♦A,♥7,♦2,♥8 | Pair
♠8,♦A,♥10,♦5,♥8 | Pair
♠8,♦A,♥10,♣7,♥8 | Pair
♠8,♦A,♥10,♦2,♥8 | Pair
♠8,♦A,♦5,♣7,♥8 | Pair
♠8,♦A,♦5,♦2,♥8 | Pair
♠8,♦A,♣7,♦2,♥8 | Pair
♠8,♥6,♥Q,♥7,♣7 | Pair
♠8,♥6,♥Q,♥7,♥8 | Pair
♠8,♥6,♥Q,♥10,♥8 | Pair
♠8,♥6,♥Q,♦5,♥8 | Pair
♠8,♥6,♥Q,♣7,♥8 | Pair
♠8,♥6,♥Q,♦2,♥8 | Pair
♠8,♥6,♥7,♥10,♣7 | Pair
♠8,♥6,♥7,♥10,♥8 | Pair
♠8,♥6,♥7,♦5,♣7 | Pair
♠8,♥6,♥7,♦5,♥8 | Pair
♠8,♥6,♥7,♣7,♦2 | Pair
♠8,♥6,♥7,♣7,♥8 | Two Pairs
♠8,♥6,♥7,♦2,♥8 | Pair
♠8,♥6,♥10,♦5,♥8 | Pair
♠8,♥6,♥10,♣7,♥8 | Pair
♠8,♥6,♥10,♦2,♥8 | Pair
♠8,♥6,♦5,♣7,♥8 | Pair
♠8,♥6,♦5,♦2,♥8 | Pair
♠8,♥6,♣7,♦2,♥8 | Pair
♠8,♥Q,♥7,♥10,♣7 | Pair
♠8,♥Q,♥7,♥10,♥8 | Pair
♠8,♥Q,♥7,♦5,♣7 | Pair
♠8,♥Q,♥7,♦5,♥8 | Pair
♠8,♥Q,♥7,♣7,♦2 | Pair
♠8,♥Q,♥7,♣7,♥8 | Two Pairs
♠8,♥Q,♥7,♦2,♥8 | Pair
♠8,♥Q,♥10,♦5,♥8 | Pair
♠8,♥Q,♥10,♣7,♥8 | Pair
♠8,♥Q,♥10,♦2,♥8 | Pair
♠8,♥Q,♦5,♣7,♥8 | Pair
♠8,♥Q,♦5,♦2,♥8 | Pair
♠8,♥Q,♣7,♦2,♥8 | Pair
♠8,♥7,♥10,♦5,♣7 | Pair
♠8,♥7,♥10,♦5,♥8 | Pair
♠8,♥7,♥10,♣7,♦2 | Pair
♠8,♥7,♥10,♣7,♥8 | Two Pairs
♠8,♥7,♥10,♦2,♥8 | Pair
♠8,♥7,♦5,♣7,♦2 | Pair
♠8,♥7,♦5,♣7,♥8 | Two Pairs
♠8,♥7,♦5,♦2,♥8 | Pair
♠8,♥7,♣7,♦2,♥8 | Two Pairs
♠8,♥10,♦5,♣7,♥8 | Pair
♠8,♥10,♦5,♦2,♥8 | Pair
♠8,♥10,♣7,♦2,♥8 | Pair
♠8,♦5,♣7,♦2,♥8 | Pair
♥K,♦A,♥6,♥7,♣7 | Pair
♥K,♦A,♥Q,♥7,♣7 | Pair
♥K,♦A,♥7,♥10,♣7 | Pair
♥K,♦A,♥7,♦5,♣7 | Pair
♥K,♦A,♥7,♣7,♦2 | Pair
♥K,♦A,♥7,♣7,♥8 | Pair
♥K,♥6,♥Q,♥7,♥10 | Flush
♥K,♥6,♥Q,♥7,♣7 | Pair
♥K,♥6,♥Q,♥7,♥8 | Flush
♥K,♥6,♥Q,♥10,♥8 | Flush
♥K,♥6,♥7,♥10,♣7 | Pair
♥K,♥6,♥7,♥10,♥8 | Flush
♥K,♥6,♥7,♦5,♣7 | Pair
♥K,♥6,♥7,♣7,♦2 | Pair
♥K,♥6,♥7,♣7,♥8 | Pair
♥K,♥Q,♥7,♥10,♣7 | Pair
♥K,♥Q,♥7,♥10,♥8 | Flush
♥K,♥Q,♥7,♦5,♣7 | Pair
♥K,♥Q,♥7,♣7,♦2 | Pair
♥K,♥Q,♥7,♣7,♥8 | Pair
♥K,♥7,♥10,♦5,♣7 | Pair
♥K,♥7,♥10,♣7,♦2 | Pair
♥K,♥7,♥10,♣7,♥8 | Pair
♥K,♥7,♦5,♣7,♦2 | Pair
♥K,♥7,♦5,♣7,♥8 | Pair
♥K,♥7,♣7,♦2,♥8 | Pair
♦A,♥6,♥Q,♥7,♣7 | Pair
♦A,♥6,♥7,♥10,♣7 | Pair
♦A,♥6,♥7,♦5,♣7 | Pair
♦A,♥6,♥7,♣7,♦2 | Pair
♦A,♥6,♥7,♣7,♥8 | Pair
♦A,♥Q,♥7,♥10,♣7 | Pair
♦A,♥Q,♥7,♦5,♣7 | Pair
♦A,♥Q,♥7,♣7,♦2 | Pair
♦A,♥Q,♥7,♣7,♥8 | Pair
♦A,♥7,♥10,♦5,♣7 | Pair
♦A,♥7,♥10,♣7,♦2 | Pair
♦A,♥7,♥10,♣7,♥8 | Pair
♦A,♥7,♦5,♣7,♦2 | Pair
♦A,♥7,♦5,♣7,♥8 | Pair
♦A,♥7,♣7,♦2,♥8 | Pair
♥6,♥Q,♥7,♥10,♣7 | Pair
♥6,♥Q,♥7,♥10,♥8 | Flush
♥6,♥Q,♥7,♦5,♣7 | Pair
♥6,♥Q,♥7,♣7,♦2 | Pair
♥6,♥Q,♥7,♣7,♥8 | Pair
♥6,♥7,♥10,♦5,♣7 | Pair
♥6,♥7,♥10,♣7,♦2 | Pair
♥6,♥7,♥10,♣7,♥8 | Pair
♥6,♥7,♦5,♣7,♦2 | Pair
♥6,♥7,♦5,♣7,♥8 | Pair
♥6,♥7,♣7,♦2,♥8 | Pair
♥Q,♥7,♥10,♦5,♣7 | Pair
♥Q,♥7,♥10,♣7,♦2 | Pair
♥Q,♥7,♥10,♣7,♥8 | Pair
♥Q,♥7,♦5,♣7,♦2 | Pair
♥Q,♥7,♦5,♣7,♥8 | Pair
♥Q,♥7,♣7,♦2,♥8 | Pair
♥7,♥10,♦5,♣7,♦2 | Pair
♥7,♥10,♦5,♣7,♥8 | Pair
♥7,♥10,♣7,♦2,♥8 | Pair
♥7,♦5,♣7,♦2,♥8 | Pair
